Gene	p_value	adj_p_value	log2fc	neg_log10_p_value	color
DDI2	0.013068317648441323	0.04375906364099291	-0.2244842	1.358931979633964	grey
PLXNB2	1.7520949291340452e-10	7.74425958677248e-09	0.29719025	8.111020097950002	grey
RBM25	9.926396888226365e-07	1.361331263098443e-05	0.48541522	4.866036181754549	grey
OSBPL8	0.00307680233958863	0.013476916190887533	-0.15183526	1.8704094723776516	grey
H2AC4	4.3711402692649756e-05	0.0003757537471030916	0.32784116	3.4250966798346494	grey
BIN2	0.000998787327108715	0.005383707299781122	0.29273617	2.268918559769483	grey
GLS	0.012937608128259026	0.04345306073473017	-0.17546956	1.3619796274227314	grey
RNF213	0.0008517219868608059	0.004705763977405953	0.2680018	2.3273698591151053	grey
MYO1E	0.005926611022309892	0.02289826985892458	-0.32399195	1.640197330721594	grey
CAPN2	0.014159103527622464	0.0467039086508144	-0.17089401	1.3306467718012054	grey
RBPJL	9.9789893494094e-07	1.361331263098443e-05	0.38009334	4.866036181754549	grey
DLD	0.005353030593592908	0.021431517412754217	0.21723935	1.6689470785775977	grey
HSD17B10	0.008911425359224817	0.03197118513617994	0.21936753	1.4952412646177868	grey
PRKCSH	0.0013483055446180268	0.006865795515220828	-0.28266984	2.163309135360266	grey
MAN2B1	0.00523605624883083	0.021259459440481753	0.18219453	1.6724477823809492	grey
PSMD4	0.0013164475041775134	0.006734604130167372	0.19568294	2.1716879276524637	grey
DHX15	0.00392445054003543	0.016551594834882253	0.117532484	1.7811601532708228	grey
ANXA3	0.0022176706594019212	0.010168158002651962	-0.2258296	1.992757713914834	grey
SPTLC1	0.005897747791800437	0.02289826985892458	-0.18825279	1.640197330721594	grey
API5	0.0015405868273908336	0.007633849525860409	0.21680789	2.1172564048706195	grey
CALU	3.7706328991775e-07	5.868379371255124e-06	-0.34054708	5.231481818223945	grey
DDOST	0.011553879192481669	0.03964918170090759	0.1998489	1.4017657714345901	grey
COPB2	3.624588998013308e-05	0.00032829269203317257	0.23644635	3.4837387847851047	grey
SYNGR1	0.0029782390991965006	0.013111371333116068	-0.23052455	1.8823518825846066	grey
DHX9	0.0041878705373294915	0.017462629976411653	0.21207379	1.757890348360752	grey
EEF1B	7.802001067631612e-08	1.5124931894268302e-06	0.58414584	5.820306572246406	red
EPB41L2	1.0879500525355336e-05	0.00011671697165551112	0.33919883	3.9328659891951627	grey
STX7	0.00529081569785745	0.021259459440481753	-0.16840157	1.6724477823809492	grey
DIAPH2	0.012117587539742652	0.04145490474122486	0.21682188	1.3824240784784234	grey
WDR1	8.072044994699928e-08	1.5378637446799001e-06	-0.21649984	5.8130821414884455	grey
PPT1	0.00026896172155356154	0.0018233294620655551	-0.18582554	2.739134850473262	grey
IDH1	4.229457146608166e-05	0.0003738840117601619	-0.32010055	3.4272631059952805	grey
H2-K1	0.0013625477275832527	0.006906491921924286	0.32307306	2.1607424918179086	grey
HBA	0.005587940356748493	0.0220437356299275	0.21160588	1.6567148061002117	grey
H3-5	0.0015048232066382004	0.007520086688908381	0.31866688	2.123777152985811	grey
ALDOA	5.036642196079092e-11	2.7827448133336983e-09	-0.36355954	8.555526618043404	grey
LDHA	3.601249042722868e-05	0.00032829269203317257	-0.29180634	3.4837387847851047	grey
GPI	1.879211805398628e-05	0.0001887753677241349	-0.18033779	3.7240546750771157	grey
ANXA2	0.00016910723799829882	0.0012213300522099359	-0.21225734	2.913166956461595	grey
S100A10	0.004384811082995618	0.018146877328502464	0.23167288	1.7411980965604192	grey
ITGB1	0.0015628268446144906	0.007709480639727732	-0.27951133	2.1129748778371913	grey
PGK1	3.360671372663811e-05	0.0003118711393990128	-0.19227755	3.506024813058452	grey
ANXA1	1.2582382888246349e-11	8.689708182195135e-10	-0.55712557	9.060994807784976	red
EEF1A1	3.950982514968465e-05	0.0003549459901658662	-0.16258097	3.4498377256982278	grey
CTSB	0.0019025072482796875	0.008928896088471997	-0.24650946	2.0492022311809133	grey
TCEA1	7.183418539460303e-05	0.0005710983160702445	0.29135826	3.243289120385883	grey
SLC3A2	0.0015108228460974306	0.007520086688908381	0.17286855	2.123777152985811	grey
H2BC7	1.811605533199545e-11	1.1121245078808318e-09	0.35012	8.953846588600536	grey
H2BC14	0.0001307876188454903	0.0009634687921617786	0.23964144	3.016162348067619	grey
SUB1	0.007103760146959322	0.02651910460266909	0.19712222	1.5764411436415002	grey
PARP1	6.512348791395275e-09	1.9033214935078204e-07	0.495886	6.720487848043104	grey
COX5A	0.00245828505617228	0.011087367294164773	0.1478425	1.9551715652442636	grey
RPL7A	7.251985870882958e-05	0.0005710983160702445	-0.22962375	3.243289120385883	grey
S100A6	0.001418718182454168	0.007125834507326617	-0.2211994	2.1471642680626672	grey
C1QB	2.2158496754128648e-08	5.101070606940033e-07	0.38803932	6.292338665100019	grey
ANXA6	0.0007263093931266559	0.004115753227717716	0.22683167	2.3855506725522972	grey
CD44	0.004214234644831827	0.017506501062177326	-0.19766405	1.7568006455346694	grey
NME1	9.582530748137228e-05	0.0007302549294270095	0.3302019	3.1365255027341132	grey
H1-2	7.340078054874701e-10	2.7968228450470845e-08	0.31899542	7.553335041621003	grey
LGALS3	0.0034053609341118613	0.014584976093773669	-0.16807753	1.8360942783935126	grey
CNP	1.5660327539313574e-07	2.703853426709609e-06	0.39997143	5.56801685477794	grey
SPTAN1	0.0003910993396292979	0.0025571879898838704	-0.23953165	2.592237343945435	grey
CTSA	0.0068322509306185854	0.025766680130831183	-0.30192545	1.5889415338643067	grey
LAMP2	5.965092085662116e-08	1.2206345841956736e-06	-0.29892406	5.913414329355206	grey
HMGA1	6.733387407177368e-09	1.9077930987002542e-07	-0.52399623	6.719468726573787	red
COX7C	0.0020682324527754262	0.00956232995948471	0.20561886	2.0194362745378376	grey
TPI1	1.8013381886962596e-05	0.00018261272463388688	-0.3214425	3.7384689636815667	grey
CTSD	9.193937290610193e-05	0.0007104406088198784	-0.2995718	3.148472222226165	grey
CFL1	1.4270995336926545e-10	6.570604103043264e-09	-0.27468723	8.182394699457394	grey
FASN	0.006011230917438203	0.023063924179754215	-0.19994624	1.6370667983153258	grey
VIM	8.929209345432863e-19	1.644462721117219e-16	-0.5134798	15.783975967238542	red
AKR1B7	0.00044211948069921696	0.0028239423478186977	-0.23549318	2.549144173866618	grey
TAP1	2.4380658050555794e-09	8.418945983082547e-08	0.14391509	7.074742276954545	grey
PCMT1	5.076874612401744e-05	0.00042824018677129215	0.1035513	3.3683125802127907	grey
GLB1	1.1761485561492657e-05	0.00012496578409085948	-0.30458504	3.9032088815092862	grey
CAPG	0.0026236971246104777	0.011690263397962006	-0.20421456	1.9321757034666693	grey
RPS2	0.007650518193499355	0.02808578938145112	-0.20344453	1.5515133653007258	grey
TLN1	1.38959693846344e-06	1.7984163944247954e-05	-0.15428227	4.745109747049773	grey
MSN	2.876707927095973e-07	4.606901825276884e-06	-0.15269938	5.336591042619213	grey
FCGR1	0.00043367387215013844	0.0028144330732141377	0.29916847	2.5506090743370105	grey
MARCKS	0.009086299793199568	0.03238826216608233	0.20296057	1.4896123539944108	grey
H2AX	1.4450847339685347e-07	2.575513921024566e-06	0.3445747	5.589136098352685	grey
ADH5	0.008763184902529761	0.03154175673386119	-0.18421964	1.5011141220858877	grey
MUG1	3.071346968803035e-12	2.424170286090967e-10	0.6282244	9.615436876373685	red
MARCKSL1	1.923465881784797e-06	2.415261135650228e-05	0.4583071	4.617035906883142	grey
PTPN6	0.0018541477468059992	0.008793275794938323	0.1540337	2.0558493052859506	grey
GNB4	0.0007205283081574351	0.004104040105742092	-0.19090837	2.386788403837425	grey
CASP1	3.386835902975705e-05	0.0003118711393990128	-0.3441769	3.506024813058452	grey
NEDD8	0.006986392375256578	0.026258379505641218	-0.121778995	1.580732079216593	grey
MSR1	0.004760840184389679	0.01955661116635909	0.18196839	1.7087063989992328	grey
FKBP4	0.003354049243511752	0.014447241468199269	0.16988002	1.840215068444141	grey
AIMP1	0.0005169199265389887	0.0031733139934754582	0.23423903	2.4984869531479457	grey
RAB6A	7.019336587405273e-18	1.1080524184404037e-15	0.36661753	14.955439694029126	grey
PRDX1	2.93395521817703e-09	9.535354459075346e-08	-0.41087866	7.020663158227914	grey
RPL12	0.002331858736543636	0.010647536792895528	-0.24358952	1.972750850533491	grey
RPL18	2.3363296150902958e-05	0.0002305039486316765	0.3355515	3.6373216305595397	grey
SAR1A	0.01259926756455835	0.04244570322816152	0.21123171	1.3721662667568237	grey
DNM2	2.2139447668270298e-07	3.597660246093923e-06	0.27457803	5.443979852723006	grey
TKT	1.3962282193586902e-08	3.4285159608696725e-07	-0.28954276	6.464893824410217	grey
RPL28	0.00027743666452027284	0.001857984935120615	0.2839926	2.7309578116666566	grey
SEPTIN2	1.399672487968619e-06	1.7984163944247954e-05	0.28702977	4.745109747049773	grey
STAT3	1.3499196495859832e-08	3.3901391199829807e-07	0.37761298	6.469782479436677	grey
H1-4	3.77275385973819e-06	4.434992569160319e-05	0.33428037	4.3531071034929925	grey
H1-1	4.285109797704163e-10	1.753720861653e-08	0.5238641	7.756039531774527	red
H1-5	5.9134581957299725e-08	1.2206345841956736e-06	0.3253504	5.913414329355206	grey
H1-3	1.5983629094321842e-11	1.0389358911309197e-09	0.3082508	8.983411250312969	grey
GSR	9.624165608330929e-06	0.00010529408908124433	0.23281598	3.9775960082205115	grey
RPL6	0.006602324036561623	0.02511179378443956	-0.16727543	1.6001222636765908	grey
PPP3CB	7.442455491798321e-06	8.391748284119535e-05	-0.058820046	4.076147551561093	grey
CBR1	5.913768275773404e-13	6.474477314701397e-11	0.10268592	10.188795286475058	grey
HCLS1	0.000523130260891502	0.0031936957916304403	-0.21489902	2.495706453979708	grey
PSMA2	0.015287017869940382	0.04982936503328649	-0.10716233	1.3025146469308266	grey
ATP6V1A	2.7971040711043093e-10	1.1887692302193314e-08	-0.3519076	7.924902444598723	grey
ATP6V1E1	6.445181037259308e-13	6.474477314701397e-11	-0.72864753	10.188795286475058	red
S100A11	4.697439811531392e-20	1.2976677479355469e-17	-1.73111	16.886836489129745	red
RAB7A	0.002706746167396003	0.012011865521978247	-0.23815592	1.9203895385601117	grey
RPL9	7.287317879267373e-05	0.0005710983160702445	0.29602927	3.243289120385883	grey
GLA	0.0012057198202928261	0.006225796268334452	-0.27215627	2.205805095183509	grey
SLC25A5	0.011000100992536108	0.03798472373985124	-0.172699	1.4203910278405696	grey
PKM	0.0007487425201375158	0.004199799414984543	-0.12933736	2.376771451279627	grey
RAB2A	2.54973409024892e-09	8.537745968863807e-08	-0.38197938	7.068656771289152	grey
IDH2	2.0955159612498957e-07	3.4560375181807983e-06	-0.3809573	5.461421551537343	grey
RAD23B	0.00933790880641496	0.033071760356052984	0.17793708	1.480542687681618	grey
ATP5F1E	0.00019639644222002196	0.0013822806920581164	-0.22248133	2.859403758239655	grey
ATP6V1D	0.014624031517481331	0.0479512012665189	-0.12173679	1.3192005084748488	grey
EEF2	7.060943718567518e-05	0.0005695140736508837	-0.1804738	3.2444955393049892	grey
ARPC4	9.006411843461339e-09	2.314438392331344e-07	-0.38723326	6.6355543751432755	grey
EIF3E	0.009918507504939923	0.03490430188840323	0.15995401	1.457121043778379	grey
ACTB	4.8440736387984557e-05	0.0004117462592978687	-0.15662155	3.3853703376923274	grey
EIF4A1	0.0009943283444180575	0.005383707299781122	-0.27846086	2.268918559769483	grey
UBE2N	1.7786121941821392e-05	0.00018197837727511703	-0.35818154	3.7399802119488648	grey
ACTR2	8.183712420613104e-09	2.2056102987262148e-07	-0.39998826	6.6564712190325315	grey
SEC61A1	0.0033601276536897847	0.014447241468199269	0.22394307	1.840215068444141	grey
SUMO2	0.0005087630665185123	0.003140688203927129	-0.19413745	2.5029751766340564	grey
YWHAG	1.2542982146126737e-07	2.2721303723721387e-06	-0.25748748	5.643566752900551	grey
RPS23	9.97074517062772e-11	5.008033369792559e-09	0.36637354	8.300332785974048	grey
SNRPE	9.454260384643746e-08	1.7411596208385565e-06	0.3101915	5.759161413103395	grey
SNRPF	2.5089061540627557e-05	0.0002453399380742783	0.15398219	3.610231748681335	grey
SNRPD2	0.0055712137909048245	0.0220437356299275	-0.19766389	1.6567148061002117	grey
KCNAB2	0.009321508106984861	0.033071760356052984	0.14414932	1.480542687681618	grey
RPS6	0.010084421951518813	0.03537551192516917	-0.1602435	1.4512972666714004	grey
MTPN	2.073651039301298e-06	2.5459826649199272e-05	-0.45656303	4.594144557695422	grey
H4C1	6.377116297014616e-07	9.271991458159409e-06	0.30448204	5.0328269771389325	grey
ATP6V1B2	1.61348142241737e-19	3.565793943542387e-17	-0.660451	16.44784375700141	red
RAB1A	0.006011110734064649	0.023063924179754215	-0.128842	1.6370667983153258	grey
RPS26	0.005881535483222632	0.02289826985892458	-0.19512096	1.640197330721594	grey
GNB1	2.6231405168473987e-05	0.0002520495887927283	-0.37857097	3.598514006756657	grey
TRA2B	0.0006076567176273991	0.0036654178096622862	0.22129269	2.4358765143137613	grey
RAC1	0.007641151714414258	0.02808578938145112	-0.26658368	1.5515133653007258	grey
DNAJA1	8.611575289358101e-05	0.0006701261052634298	0.29635802	3.1738434634683155	grey
YWHAZ	1.9629430403991078e-05	0.00019541009546315442	-0.2320511	3.709053003100958	grey
EIF5A	0.008579145307266507	0.031081821523047507	-0.22303826	1.5074935376759	grey
CRIP1	8.895670097380623e-06	9.829715457605589e-05	-0.3694479	4.007459053579901	grey
UBE2L3	5.676208067398261e-06	6.466195788118638e-05	-0.33760098	4.189351149645242	grey
H3C1	1.8757152576269176e-12	1.59435796898288e-10	0.46152148	9.797414163178246	grey
MYO1F	0.0004398050679763376	0.0028239423478186977	-0.33495742	2.549144173866618	grey
MPP1	0.010133442456547724	0.035434980742041884	0.18639755	1.45056779892976	grey
PEBP1	1.6448707366930355e-07	2.7962802523781606e-06	-0.31538394	5.553419304327651	grey
EVL	9.582331863412518e-24	5.294238354535416e-21	-1.0678595	20.276196510006862	red
CCT7	7.285921535838132e-05	0.0005710983160702445	-0.21263567	3.243289120385883	grey
CCT4	0.0007089409891281257	0.004058962657961549	-0.20677085	2.3915849441288444	grey
