Gene	RANK
GSR	3.1102540723198264
RPL18A	2.33801767273705
SNRNP70	2.292564442751398
ERAP1	2.0692285827721606
FUS	2.063420270036276
GRPEL1	1.6508495671161874
SNRPG	1.4755284718358241
CDS2	1.4726166899556528
RPS23	1.4457867417129229
ACTA2	1.4405385825687704
TBCB	1.3506049300234368
QDPR	1.2641561527005027
MESD	1.2196660926887914
GBA1	1.147449225298656
MACF1	1.1202597243932637
HSD17B10	1.0926256647113477
SPAG9	1.0904137772706055
CLIP1	1.0667648916161623
MSR1	1.0547835414454765
HBA	1.045236868808939
RPL7	1.0448042067636862
RPL9	1.019636790292497
SNX8	0.9905981478132246
DNM2	0.9889473311455214
SEC11A	0.9833708663316606
RAB6A	0.9708061391769947
PAICS	0.962788561336461
EPRS1	0.9617343244264084
NME1	0.953833952411229
PRKAR1A	0.9513409657404165
ALYREF	0.9367828622700868
NFKB2	0.9148302576078569
GVIN1	0.8623913675616763
RALB	0.8494543277302797
SLK	0.7742658587877885
NRDC	0.7453746595045622
TUFM	0.740182425040707
TRIM28	0.7379090774347655
MYO1C	0.7056021437287309
CAB39	0.7054937954178665
SRSF3	0.6960178722801305
TMCO1	0.6704071194276306
SNRPE	0.6629856305885878
LRRFIP1	0.6599040586583476
EPB41L2	0.6383636248257675
APOBR	0.6346252266508894
FKBP4	0.613528102834866
H2AX	0.6093575349535634
KCNAB2	0.5957658921553168
ADSS1	0.5897427271513624
CWC15	0.5838493220306185
EIF3F	0.5692213439648227
SRSF7	0.5681574696802794
LPXN	0.5611764552793286
SMARCC2	0.5589384360311648
FUBP1	0.5556584817193346
PSMD4	0.552206236297984
RIGI	0.5476996798497706
MCM6	0.5466508639151981
TFE3	0.5360072970994052
CISD1	0.5355717320316229
UBE2V1	0.5183009718954872
CD84	0.5129005523603264
DDX39A	0.5091620203122222
MUG1	0.5050179523476241
RPL18	0.5044101963672073
COPS2	0.5031384817628752
IFI205A	0.4995994393130213
API5	0.4987329430640252
RAB21	0.4910865293222765
KHDRBS1	0.48855040611781897
ACAA1A	0.4835614488329002
ABHD12	0.4821421516189337
HNRNPUL2	0.4744875146651372
NPC1	0.4712470515556359
SLIRP	0.46956171004422315
RPL27	0.46857446866051766
CAST	0.4588044741856972
HBB-B1	0.45277132013185406
PYGB	0.4475656914632535
ARHGAP45	0.44312644443397786
RAD23B	0.4424144957936938
CHIL3	0.4376812737315645
H2AZ1	0.43766462068512973
SCP2	0.42935730063647437
NCEH1	0.42773121556920557
S100A10	0.41985539722482407
GATD3	0.41447830139978137
DSTN	0.4101809511033053
SART1	0.4065641074307111
COX7C	0.4043737108488858
CKAP4	0.3926210696878957
IRGM1	0.38874563237586196
MAN2B1	0.3829375312504986
ARHGEF1	0.382292300936265
MPP1	0.3789658179514274
ASPH	0.3784551089936662
FMNL1	0.3774866792690974
STMN1	0.3736092365485699
ALDH1L1	0.35763308856061465
SDHA	0.35735183059712344
WASHC2	0.35671394908053267
DIAPH2	0.34939870161019493
GBP3	0.3478389361700732
EEF1D	0.34752970541628936
B2M	0.3451193975574069
PAK2	0.3440772644131782
LGALS1	0.341649315602518
ELOB	0.3408214456444334
NDUFB5	0.33357690368744514
EIF5B	0.33252827490688497
ARHGDIA	0.3324156089292698
PSMA1	0.33084853010380627
GHITM	0.3308364370621197
PTGR1	0.32936454002973553
TGTP2	0.3274617553392027
CMPK1	0.3274328070637008
PLXNB2	0.32387296697970985
FNBP1	0.3238163144369178
EWSR1	0.323619135425799
ATP5MG	0.3220078566828133
TRA2B	0.3212407004247527
GART	0.31443785605428753
SUPT16H	0.31261557482705915
PARP1	0.30854183292675186
ACTN4	0.3080733505185434
HYOU1	0.3071233523458462
HACD2	0.30530810171582246
GOT1	0.30222245367984246
EIF4B	0.30036704270312986
STAT3	0.29728794275223486
FKBP2	0.29621386316316
GANAB	0.29282578635746154
GFUS	0.29269717927032374
TAP1	0.2916391861115039
VPS29	0.29107557885453206
RPL35A	0.2908532543470243
PTMS	0.28839735937459826
MYO1G	0.2877395855652047
CASP3	0.27615304205610663
CSE1L	0.2739077360237451
SZRD1	0.2726911828843602
VDAC3	0.2676699006328485
DLD	0.26623658383231313
THRAP3	0.26425003933605423
EIF4G1	0.26112338613747765
NDUFA10	0.25610272811184065
ANXA6	0.2528737966477399
RPL28	0.2528434384338653
H2BC14	0.25280695939444003
SH3BP1	0.2525148203223252
PSMC3	0.25159103248472736
DLST	0.24994778949796462
RBM39	0.24182931361794902
ADK	0.2413953485929464
FERMT3	0.24074261955915202
HNRNPH1	0.2404808322099881
DNAJA1	0.23852819241880802
CTSS	0.2325095942769013
XPNPEP1	0.2304163948947032
DHX15	0.22663824606190855
NIBAN1	0.22285674983927942
DAB2	0.22033795196441425
ANXA7	0.21141078881595404
EIF3G	0.20994937358008353
SAA3	0.20508520689035709
PGM1	0.203024060583308
ARHGAP1	0.19681456780272127
DDX3X	0.19594621618146424
MTA2	0.19592006493324285
SERBP1	0.19511635174781422
H3C1	0.19435501512546954
PACSIN2	0.19238465283224407
TOMM40	0.19220152110016173
SYNCRIP	0.1904619452648697
CYRIB	0.18920961616078294
FAM98B	0.1884292014858713
NUCKS1	0.18405929891281067
VDAC2	0.1840515486122296
SIRPA	0.182870276210249
CLTB	0.17995580637003544
ARF6	0.1766780358941155
SEPTIN2	0.1735344757689977
COX5A	0.16986499289446513
HGSNAT	0.16966493123311735
HK1	0.16955863892328113
SNRPF	0.1649481606647563
CAMK2D	0.16132011339058988
RBMXL1	0.1582892836638651
LSP1	0.15608928713351078
HNRNPM	0.15185586007336146
MCM2	0.14926058018037386
LAP3	0.14869255695304218
RANGAP1	0.1478353990065804
NUCB2	0.14716833035304588
EIF4H	0.14533113581621707
PSMD1	0.14112840405331725
MNDAL	0.13480337845777252
NPEPPS	0.1344257503376757
MYOF	0.1324539744459087
ALDH16A1	0.12989820170480054
CHCHD3	0.12984119184212137
HPRT1	0.12925433780280296
SCPEP1	0.1287838612727445
CST3	0.1286949609170798
TAP2	0.12810810817114796
CPNE3	0.12800784313222047
HNRNPL	0.12563260493321457
EIF3D	0.12328744708867705
PPIB	0.12324452262093881
GNS	0.12254344698772557
CCT2	0.12198026441920957
ITGAM	0.12082374062761819
RBM25	0.12065910093640467
HEXA	0.12045494273020349
EEF1B	0.11954933875944582
HARS1	0.11871011636178899
STIP1	0.11826176648877992
MRC1	0.11790073392346179
SPCS2	0.11595389195394272
RTCB	0.11448654757243253
H2-K1	0.11199341260456723
C3AR1	0.11026152067340225
ATP5IF1	0.11005148368292973
PHB2	0.10990909974837008
XDH	0.10892088451308736
ANXA5	0.10880351394157438
UCHL5	0.10879527126540431
HNRNPUL1	0.10771999337079818
ADSL	0.10650667224603798
C1QB	0.10628643385477607
RPL8	0.10444229078573244
ANXA3	0.10392674837817989
AARS1	0.10332324867545377
DCTN2	0.10289096953637411
HNRNPF	0.10072517631530795
RBBP7	0.10012211306401285
DTX3L	0.09841820918262421
UGGT1	0.09736108216974197
PYHIN1	0.09699847980155449
IARS1	0.09685651164727982
ASL	0.09670815963169761
MCM3	0.09644473632002204
OTUB1	0.09575276285616825
NUDC	0.09513024990098924
NUP62	0.0938577309907712
CKB	0.0918495548805447
PITPNA	0.09133389887020567
OXCT1	0.09121588281150407
RPL4	0.0905729589355373
YBX1	0.09016810319129934
RPL13A	0.0891179077182712
IL1RN	0.08848804650594516
CACYBP	0.08841610961486636
H1-3	0.08758104906091697
LILRB4A	0.087149982296213
DNMT1	0.08444776966886763
IFIH1	0.08207960470678119
ACOT13	0.0814235404638774
SARS1	0.07902396171466035
KPNB1	0.07756673482709216
SNX3	0.07720296402328183
DNPEP	0.07650858728641938
RAB5B	0.07608367591329973
SNAP23	0.07545497625866589
DPP3	0.07414041802556891
P2RX4	0.07349755813587751
RCC2	0.07206240432025
LRP1	0.07193094333202606
H1-5	0.07179546488849502
STOM	0.07099322236942965
ALDH3B2	0.07072789762435934
SF3A1	0.07067433319546751
ATP5F1B	0.0703944651695567
STK24	0.06962935303063443
ZBP1	0.06935850005799662
JPT2	0.0680720375671721
H1-2	0.06547634450936174
MLEC	0.06497742338902128
AP1B1	0.06423887837592117
ALCAM	0.06167116284543832
SF3B1	0.06042454632948642
RTRAF	0.06009674123009045
BZW1	0.056188798402102
CAP1	0.05593613420278764
ANP32E	0.05588162389476091
EIF3H	0.05572122188180802
TARDBP	0.05540089459670725
DDX17	0.05478815206436759
EIF3E	0.05427982018872632
ALDOC	0.0540000609796267
NDUFS6	0.050950312335572255
NSF	0.050674995317811417
IAP	0.050539132831348026
EZR	0.04920039052878611
ACSL1	0.047379279723053454
SSR3	0.04732753568353575
PFDN2	0.04714166909949415
CBFB	0.04586321214480259
NCL	0.043792151334789364
ETFA	0.043688292781453995
AIMP1	0.04279889394749206
ACTR1B	0.041106133977807935
GLB1	0.04040014479793561
IGBP1	0.03903930853771396
VDAC1	0.038323522842000066
GAS7	0.038172167617550795
TWF1	0.03740305308678204
PML	0.03687096237337428
SOD1	0.03667230038083499
CMTM6	0.03644760192358413
RPS15A	0.036246311227360356
LIPA	0.035689757015144624
NQO2	0.035556189742804445
CD63	0.03523573633759411
SNX6	0.035097875738061945
MRI1	0.03493793046632843
NONO	0.03481699751737253
SHMT2	0.03459461645259172
